20 2
5.0000000000000000e-01    8.3400751227732176e-02 
1.0000000000000000e+00    1.4025800015793458e-01 
1.5000000000000000e+00    2.1255877271482473e-01 
2.0000000000000000e+00    2.2109405113803365e-01 
2.5000000000000000e+00    2.5728429012075865e-01 
3.0000000000000000e+00    2.5037337555914252e-01 
3.5000000000000000e+00    2.1316003953448678e-01 
4.0000000000000000e+00    1.6824216467974074e-01 
4.5000000000000000e+00    1.4042407625273087e-01 
5.0000000000000000e+00    9.8626584131696129e-02 
5.5000000000000000e+00    7.0710625654120937e-02 
6.0000000000000000e+00    5.7704311483018821e-02 
6.5000000000000000e+00    3.6174220565177759e-02 
7.0000000000000000e+00    2.2309457421595479e-02 
7.5000000000000000e+00    1.2454848194790544e-02 
8.0000000000000000e+00    7.7461090163344183e-03 
8.5000000000000000e+00    3.9383351413173305e-03 
9.0000000000000000e+00    1.9792686591964845e-03 
9.5000000000000000e+00    1.0156865092747218e-03 
1.0000000000000000e+01    5.4503183809240046e-04 
