-2 39.8249
-1.96 36.636
-1.92 33.5849
-1.88 30.6684
-1.84 27.8834
-1.8 25.2266
-1.76 22.6949
-1.72 20.2851
-1.68 17.9943
-1.64 15.8193
-1.6 13.7571
-1.56 11.8047
-1.52 9.95916
-1.48 8.21754
-1.44 6.57693
-1.4 5.03446
-1.36 3.58729
-1.32 2.2326
-1.28 0.967609
-1.24 -0.21043
-1.2 -1.30424
-1.16 -2.31651
-1.12 -3.2499
-1.08 -4.10704
-1.04 -4.89053
-1 -5.60294
-0.96 -6.2468
-0.92 -6.82463
-0.88 -7.3389
-0.84 -7.79206
-0.8 -8.18652
-0.76 -8.52467
-0.72 -8.80887
-0.68 -9.04144
-0.64 -9.22467
-0.6 -9.36083
-0.56 -9.45216
-0.52 -9.50085
-0.48 -9.50908
-0.44 -9.47899
-0.4 -9.41269
-0.36 -9.31227
-0.32 -9.17977
-0.28 -9.01721
-0.24 -8.8266
-0.2 -8.60987
-0.16 -8.36897
-0.12 -8.1058
-0.08 -7.82221
-0.04 -7.52005
0 -7.20113
0.04 -6.86722
0.08 -6.52007
0.12 -6.16139
0.16 -5.79288
0.2 -5.41617
0.24 -5.03291
0.28 -4.64468
0.32 -4.25305
0.36 -3.85955
0.4 -3.46568
0.44 -3.07292
0.48 -2.6827
0.52 -2.29644
0.56 -1.91553
0.6 -1.5413
0.64 -1.17508
0.68 -0.818158
0.72 -0.471796
0.76 -0.137222
0.8 0.184368
0.84 0.491805
0.88 0.783952
0.92 1.0597
0.96 1.31798
1 1.55774
1.04 1.77796
1.08 1.97767
1.12 2.1559
1.16 2.31173
1.2 2.44427
1.24 2.55266
1.28 2.63606
1.32 2.69367
1.36 2.72471
1.4 2.72846
1.44 2.70419
1.48 2.65123
1.52 2.56892
1.56 2.45665
1.6 2.31383
1.64 2.1399
1.68 1.93432
1.72 1.69661
1.76 1.4263
1.8 1.12294
1.84 0.786138
1.88 0.415512
1.92 0.0107164
1.96 -0.428563
